Column1,Date,Startup,Industry,Location,Investor,Type,Amount
597,18-07-2018,The Ken,Software,Bangalore,Omidyar Network & Others,Seed,1500000
598,19-07-2018,Book My Show,Software,Mumbai,"TPG Growth, The Rise Fund & Others",Unknown,100000000
599,20-07-2018,HousingMan,Software,Bangalore,Secret,Seed,1500000
600,21-07-2018,PaySense,Software,Mumbai,PayU & Others,Unknown,18000000
602,23-07-2018,VTION,Software,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed,280000
603,23-07-2018,Log9 Materials,Software,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed,436000
604,24-07-2018,kidovators,Education,Bangalore,Gray Matters,Seed,180000
605,24-07-2018,Digit,Software,Pune,Fairfax,Unknown,45000000
606,25-07-2018,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Unknown,17000000
607,25-07-2018,Trell,Software,Bangalore,"BeeNext , WEH Ventures and Sprout Ventures",Seed,1250000
608,25-07-2018,iqlect,Software,Bangalore,Ventureast and Exfinity,Seed,2500000
609,26-07-2018,Entropik,Software,Bangalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed,1100000
611,26-07-2018,TheCapitalNet,Finance,Hyderabad,Lindwall Family Investments LLC (LFI),Unknown,500000
612,30-07-2018,Shuttl,Software,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Unknown,11000000
613,30-07-2018,Cure Fit,Software,Bangalore,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Unknown,120000000
614,31-07-2018,Five Star Group,Finance,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Unknown,100000000
615,31-07-2018,Healthsignz,Healthcare & Hospitality,Hyderabad,Kantilal Patel,Seed,5000000
